Date,Bitcoin_Price,ahr999,Cash_Holdings,Bitcoin_Quantity,Action,Operation_Amount,Portfolio_Value
2024-01-11,46348.7,0.99,10000.0,0.23072,Buy,101.1,20693.4
2024-01-12,42781.2,0.841,10000.0,0.2335,Buy,118.9,19989.2
2024-01-13,42846.4,0.841,10000.0,0.23627,Buy,118.9,20123.4
2024-01-14,41733.4,0.796,10000.0,0.23928,Buy,125.7,19986.1
2024-01-15,42511.9,0.824,10000.0,0.24214,Buy,121.4,20293.8
2024-01-16,43133.0,0.845,10000.0,0.24488,Buy,118.3,20562.5
2024-01-17,42783.3,0.83,10000.0,0.2477,Buy,120.6,20597.4
2024-01-18,41326.6,0.772,10000.0,0.25083,Buy,129.5,20366.1
2024-01-19,41669.4,0.783,10000.0,0.2539,Buy,127.7,20579.8
2024-01-20,41687.1,0.782,10000.0,0.25697,Buy,128.0,20712.3
2024-01-21,41575.1,0.775,10000.0,0.26007,Buy,129.0,20812.5
2024-01-22,39555.2,0.7,10000.0,0.26368,Buy,142.8,20430.0
2024-01-23,39880.6,0.71,10000.0,0.26721,Buy,140.9,20656.6
2024-01-24,40064.7,0.715,10000.0,0.27071,Buy,139.9,20845.8
2024-01-25,39941.5,0.709,10000.0,0.27424,Buy,141.1,20953.5
2024-01-26,41806.5,0.774,10000.0,0.27733,Buy,129.1,21594.1
2024-01-27,42112.4,0.784,10000.0,0.28036,Buy,127.6,21806.6
2024-01-28,42021.3,0.778,10000.0,0.28342,Buy,128.5,21909.6
2024-01-29,43290.6,0.824,10000.0,0.28622,Buy,121.4,22390.7
2024-01-30,42909.9,0.807,10000.0,0.28911,Buy,123.9,22405.7
2024-01-31,42561.8,0.792,10000.0,0.29208,Buy,126.3,22431.4
2024-02-01,43090.4,0.809,10000.0,0.29495,Buy,123.6,22709.4
2024-02-02,43188.8,0.81,10000.0,0.2978,Buy,123.4,22861.8
2024-02-03,42992.1,0.801,10000.0,0.30071,Buy,124.9,22928.1
2024-02-04,42570.3,0.783,10000.0,0.30371,Buy,127.7,22928.9
2024-02-05,42691.6,0.785,10000.0,0.30669,Buy,127.4,23093.1
2024-02-06,43071.0,0.797,10000.0,0.3096,Buy,125.5,23335.0
2024-02-07,44328.1,0.842,10000.0,0.31229,Buy,118.8,23843.0
2024-02-08,45269.1,0.875,10000.0,0.31481,Buy,114.3,24251.2
2024-02-09,47129.9,0.945,10000.0,0.31706,Buy,105.8,24942.8
2024-02-10,47731.6,0.966,10000.0,0.31922,Buy,103.5,25237.1
2024-02-11,48310.0,0.986,10000.0,0.32132,Buy,101.4,25523.2
2024-02-12,49929.5,1.049,10000.0,0.32323,Buy,95.3,26138.8
2024-02-13,49717.3,1.036,10000.0,0.32517,Buy,96.5,26166.7
2024-02-14,51814.1,1.121,10100.0,0.32517,Hold,0.0,26948.5
2024-02-15,51907.1,1.121,10200.0,0.32517,Hold,0.0,27078.8
2024-02-16,52153.5,1.127,10300.0,0.32517,Hold,0.0,27258.9
2024-02-17,51686.7,1.103,10400.0,0.32517,Hold,0.0,27207.1
2024-02-18,52174.6,1.119,10500.0,0.32517,Hold,0.0,27465.8
2024-02-19,51806.0,1.099,10500.0,0.32693,Buy,91.0,27436.9
2024-02-20,52309.2,1.116,10600.0,0.32693,Hold,0.0,27701.4
2024-02-21,51893.8,1.094,10600.0,0.32869,Buy,91.4,27657.0
2024-02-22,51315.0,1.066,10600.0,0.33052,Buy,93.8,27560.6
2024-02-23,50764.1,1.039,10600.0,0.33241,Buy,96.2,27474.7
2024-02-24,51608.5,1.07,10600.0,0.33423,Buy,93.5,27848.9
2024-02-25,51757.7,1.072,10600.0,0.33603,Buy,93.3,27992.0
2024-02-26,54528.6,1.185,10700.0,0.33603,Hold,0.0,29023.1
2024-02-27,57081.9,1.293,10800.0,0.33603,Hold,0.0,29981.1
2024-02-28,62482.9,1.542,10900.0,0.33603,Hold,0.0,31896.0
2024-02-29,61208.0,1.472,11000.0,0.33603,Hold,0.0,31567.6
2024-03-01,62418.7,1.524,11100.0,0.33603,Hold,0.0,32074.4
2024-03-02,62013.9,1.497,11200.0,0.33603,Hold,0.0,32038.4
2024-03-03,63159.5,1.545,11300.0,0.33603,Hold,0.0,32523.4
2024-03-04,68289.7,1.795,11400.0,0.33603,Hold,0.0,34347.3
2024-03-05,63755.9,1.556,11500.0,0.33603,Hold,0.0,32923.8
2024-03-06,66116.6,1.664,11600.0,0.33603,Hold,0.0,33817.0
2024-03-07,66860.2,1.692,11700.0,0.33603,Hold,0.0,34166.9
2024-03-08,68195.2,1.75,11800.0,0.33603,Hold,0.0,34715.5
2024-03-09,68367.0,1.748,11900.0,0.33603,Hold,0.0,34873.2
2024-03-10,69009.9,1.771,12000.0,0.33603,Hold,0.0,35189.3
2024-03-11,72158.9,1.924,36247.4,0.0,Sell,24247.4,36247.4
2024-03-12,71512.8,1.879,36247.4,0.0,Hold,0.0,36247.4
2024-03-13,73127.6,1.952,36247.4,0.0,Hold,0.0,36247.4
2024-03-14,71461.1,1.853,36247.4,0.0,Hold,0.0,36247.4
2024-03-15,69536.8,1.744,36347.4,0.0,Hold,0.0,36347.4
2024-03-16,65352.9,1.532,36447.4,0.0,Hold,0.0,36447.4
2024-03-17,68462.8,1.672,36547.4,0.0,Hold,0.0,36547.4
2024-03-18,67637.8,1.623,36647.4,0.0,Hold,0.0,36647.4
2024-03-19,61905.2,1.352,36747.4,0.0,Hold,0.0,36747.4
2024-03-20,67880.0,1.616,36847.4,0.0,Hold,0.0,36847.4
2024-03-21,65526.2,1.497,36947.4,0.0,Hold,0.0,36947.4
2024-03-22,63824.9,1.413,37047.4,0.0,Hold,0.0,37047.4
2024-03-23,64035.1,1.414,37147.4,0.0,Hold,0.0,37147.4
2024-03-24,67267.2,1.551,37247.4,0.0,Hold,0.0,37247.4
2024-03-25,69925.1,1.666,37347.4,0.0,Hold,0.0,37347.4
2024-03-26,70048.5,1.662,37447.4,0.0,Hold,0.0,37447.4
2024-03-27,69509.0,1.627,37547.4,0.0,Hold,0.0,37547.4
2024-03-28,70823.3,1.678,37647.4,0.0,Hold,0.0,37647.4
2024-03-29,69886.4,1.625,37747.4,0.0,Hold,0.0,37747.4
2024-03-30,69627.7,1.603,37847.4,0.0,Hold,0.0,37847.4
2024-03-31,71303.3,1.671,37947.4,0.0,Hold,0.0,37947.4
2024-04-01,69698.5,1.587,38047.4,0.0,Hold,0.0,38047.4
2024-04-02,65463.8,1.392,38147.4,0.0,Hold,0.0,38147.4
2024-04-03,65938.6,1.405,38247.4,0.0,Hold,0.0,38247.4
2024-04-04,68494.0,1.507,38347.4,0.0,Hold,0.0,38347.4
2024-04-05,67853.5,1.471,38447.4,0.0,Hold,0.0,38447.4
2024-04-06,68928.1,1.509,38547.4,0.0,Hold,0.0,38547.4
2024-04-07,69359.8,1.519,38647.4,0.0,Hold,0.0,38647.4
2024-04-08,71659.0,1.612,38747.4,0.0,Hold,0.0,38747.4
2024-04-09,69147.1,1.492,38847.4,0.0,Hold,0.0,38847.4
2024-04-10,70707.0,1.551,38947.4,0.0,Hold,0.0,38947.4
2024-04-11,70060.9,1.514,39047.4,0.0,Hold,0.0,39047.4
2024-04-12,67107.7,1.381,39147.4,0.0,Hold,0.0,39147.4
2024-04-13,63802.5,1.241,39247.4,0.0,Hold,0.0,39247.4
2024-04-14,65555.9,1.303,39347.4,0.0,Hold,0.0,39347.4
2024-04-15,63341.2,1.21,39447.4,0.0,Hold,0.0,39447.4
2024-04-16,63767.7,1.22,39547.4,0.0,Hold,0.0,39547.4
2024-04-17,61233.4,1.119,39647.4,0.0,Hold,0.0,39647.4
2024-04-18,63435.1,1.195,39747.4,0.0,Hold,0.0,39747.4
2024-04-19,63803.8,1.203,39847.4,0.0,Hold,0.0,39847.4
2024-04-20,64917.5,1.238,39947.4,0.0,Hold,0.0,39947.4
2024-04-21,64899.2,1.231,40047.4,0.0,Hold,0.0,40047.4
2024-04-22,66760.6,1.296,40147.4,0.0,Hold,0.0,40147.4
2024-04-23,66364.8,1.274,40247.4,0.0,Hold,0.0,40247.4
2024-04-24,64230.8,1.187,40347.4,0.0,Hold,0.0,40347.4
2024-04-25,64490.0,1.19,40447.4,0.0,Hold,0.0,40447.4
2024-04-26,63749.0,1.157,40547.4,0.0,Hold,0.0,40547.4
2024-04-27,63463.3,1.141,40647.4,0.0,Hold,0.0,40647.4
2024-04-28,63075.6,1.121,40747.4,0.0,Hold,0.0,40747.4
2024-04-29,63825.8,1.141,40847.4,0.0,Hold,0.0,40847.4
2024-04-30,60666.1,1.026,40847.4,0.00161,Buy,97.5,40944.9
2024-05-01,58296.5,0.943,40847.4,0.00343,Buy,106.1,41047.2
2024-05-02,59031.9,0.962,40847.4,0.00519,Buy,104.0,41153.7
